MGEN|20210608121332|1.0|30|7222|RECURRENT
CAISSEAFFILIATION|0102562235|20090209000002|ACT|973|19940901||506||||||||||||||||||||||
CAISSEAFFILIATION|0102816150|20090209000001|ACT|973|20060901||506||||||||||||||||||||||
CAISSEAFFILIATION|0104981620|20090209000001|ACT|973|20040901||506||||||||||||||||||||||
CAISSEAFFILIATION|0104981621|20181215053242|ACT|973|20181215|20191031|506||||||||||||||||||||||
CONTRATCOLLECTIF|16000087|1|7300|S9300072|O0004501|FR018701|OF000028|0|CEFR|20090401|||||||||||||||||||
CONTRATCOLLECTIF|16000088|1|4493|S7800028|O0004501|FR018701|OF000028|0|ESAT LA MARE SAVIN|20120101|||||||||||||||||||
CONTRATCOLLECTIF|16000089|1|13739|S9500046|O0004501|FR018701|OF000028|0|CAT P MONDOLONI APAJ|20070501|||||||||||||||||||
CONTRATCOLLECTIF|16000090|1|10814|S7800028|O0004501|FR018701|OF000028|0|ESAT LA MARE SAVIN|20110101|||||||||||||||||||
CONTRATCOLLECTIF|16000091|1|12671|S9400010|O0004501|FR018701|OF000028|0|APAJH 94|20080401|||||||||||||||||||
CONTRATCOLLECTIF|16000092|1|11071|S3400055|O0004501|FR018701|OF000028|0|OBJECTIF EMERGENCE|20100101|||||||||||||||||||
CONTRATCOLLECTIF|16000093|1|4841|S7500196|O0004501|FR018701|OF000028|0|ADEIC FEN|20120101|||||||||||||||||||
CONTRATCOLLECTIF|16000094|1|8931|S9400049|O0004501|FR018701|OF000028|0|APAJH 94|20071001|||||||||||||||||||
CONTRATCOLLECTIF|16000095|1|9825|S3300046|O0004501|FR018701|OF000028|0|ITEP AGREA|20050101|||||||||||||||||||
CONTRATCOLLECTIF|16000096|1|2040|S2300021|O0004501|FR018701|OF000028|0|APAJH 23|20110201|||||||||||||||||||
CONTRATCOLLECTIF|16000097|1|13364|S3400059|O0004501|FR018701|OF000028|0|APSH 34 COMITE D'ENT|20100101|||||||||||||||||||
CONTRATCOLLECTIF|16000098|1|237|S3100100|O0004501|FR018701|OF000028|0|ASEI|20120101|||||||||||||||||||
CONTRATCOLLECTIF|16000099|1|12457|S8100027|O0004501|FR018701|OF000028|0|ASEI FOYER D ACCUEIL|20130101|||||||||||||||||||
CONTRATCOLLECTIF|16000100|1|8483|S0600030|O0004501|FR018701|OF000028|0|ASSOCIATION RAYON DE|20090101|||||||||||||||||||
